"tp_med","ttc","metal"
3.76,1.05938056298116,"Zinc"
3.77,1.05436452700965,"Zinc"
3.78,1.04935816086454,"Zinc"
3.79,1.04436157642072,"Zinc"
3.8,1.03937488555304,"Zinc"
3.81,1.03439817209655,"Zinc"
3.82,1.02943140772693,"Zinc"
3.83,1.02447453608001,"Zinc"
3.84,1.01952750079165,"Zinc"
3.85,1.01459024549768,"Zinc"
3.86,1.00966271383396,"Zinc"
3.87,1.00474484943631,"Zinc"
3.88,0.999942088563116,"Zinc"
3.89,0.996727463777842,"Zinc"
3.9,0.993519071885131,"Zinc"
3.91,0.990316861446942,"Zinc"
3.92,0.987120723222241,"Zinc"
3.93,0.983930533519245,"Zinc"
3.94,0.980746168646172,"Zinc"
3.95,0.977567504911238,"Zinc"
3.96,0.974394418622662,"Zinc"
3.97,0.971226786088661,"Zinc"
3.98,0.968064483617453,"Zinc"
3.99,0.964907387517254,"Zinc"
4,0.961755374096283,"Zinc"
4.01,0.958608319662757,"Zinc"
4.02,0.955466100524892,"Zinc"
4.03,0.952328592990908,"Zinc"
4.04,0.949195673369021,"Zinc"
4.05,0.946067217967449,"Zinc"
4.06,0.942943103094408,"Zinc"
4.07,0.939823205058117,"Zinc"
4.08,0.936707400166794,"Zinc"
4.09,0.933595564728655,"Zinc"
4.1,0.930487575051918,"Zinc"
4.11,0.927383307444801,"Zinc"
4.12,0.924282638215521,"Zinc"
4.13,0.921185443672294,"Zinc"
4.14,0.918091600123341,"Zinc"
4.15,0.915000983876876,"Zinc"
4.16,0.911913471241118,"Zinc"
4.17,0.908828938524284,"Zinc"
4.18,0.905747262034593,"Zinc"
4.19,0.90266831808026,"Zinc"
4.2,0.899591982969504,"Zinc"
4.21,0.896518133010543,"Zinc"
4.22,0.893446644511593,"Zinc"
4.23,0.890377393780872,"Zinc"
4.24,0.887310257126598,"Zinc"
4.25,0.884245110856988,"Zinc"
4.26,0.88118183128026,"Zinc"
4.27,0.87812029470463,"Zinc"
