"","spp","year","tp_med","tp_upper","tp_lower"
"243","BUPE",2008,3.89403098124962,4.07153989461194,3.67823538627517
"244","BUPE",2009,3.87858677156173,4.06668462286148,3.64903058306191
"245","BUPE",2010,3.86512848729573,4.06158629415066,3.62016171461731
"246","BUPE",2011,3.84898434497066,4.0578182292456,3.59252319145989
"247","BUPE",2012,3.83288146158282,4.04938507280727,3.56091205983751
"248","BUPE",2013,3.8144398928169,4.04319898995485,3.53070106289917
"249","BUPE",2014,3.79733934923098,4.03982863488935,3.49989360256008
"250","WTSH",1891,4.07104989957222,4.12644459207086,4.01036663578943
"251","WTSH",1892,4.06177224459689,4.1121545743423,4.00755048284023
"252","WTSH",1893,4.05258914247659,4.09833482233991,4.00456238306961
"253","WTSH",1894,4.04361945764853,4.08521589748602,3.9987654394817
"254","WTSH",1895,4.0344320395612,4.07503953709005,3.99312221955812
"255","WTSH",1896,4.02653075163025,4.06481319741976,3.98543008356939
"256","WTSH",1897,4.01867700209642,4.05743855362558,3.97814322776026
"257","WTSH",1898,4.01079304833194,4.05219982377785,3.96998870509419
"258","WTSH",1899,4.00323583957227,4.04538753750941,3.962426394452
"259","WTSH",1900,3.99589065832864,4.04179343173211,3.95271610577976
"260","WTSH",1901,3.98855673435764,4.03952406533136,3.9431894616592
"261","WTSH",1902,3.98099867639985,4.03561655473873,3.93253935943356
"262","WTSH",1903,3.973682290454,4.03490473838877,3.92118468198401
"263","WTSH",1904,3.96599910284143,4.03269015080674,3.91117275176411
"264","WTSH",1905,3.95917871420759,4.03152506228368,3.90202020206807
"265","WTSH",1906,3.95287274242128,4.0289119904407,3.89211153181182
"266","WTSH",1907,3.94641253210584,4.02945056913674,3.88334742392545
"267","WTSH",1908,3.93941135531421,4.02844145548441,3.87368438813438
"268","WTSH",1909,3.9329619158295,4.02751153683362,3.86407592540181
"269","WTSH",1910,3.92667583507908,4.02569226557391,3.85486132549341
"270","WTSH",1911,3.92099133523924,4.02373362865393,3.84594013408612
"271","WTSH",1912,3.91520445452741,4.02222109878623,3.8380558656259
"272","WTSH",1913,3.90948826861252,4.02179251330856,3.83021257988971
"273","WTSH",1914,3.90328437637356,4.02171701136084,3.82127001387818
"274","WTSH",1915,3.89753546037889,4.01999730498989,3.81279846523553
"275","WTSH",1916,3.89152750129481,4.01857542440805,3.80505455352127
"276","WTSH",1917,3.88555698204019,4.01813728357822,3.79784997123964
"277","WTSH",1918,3.88018799021645,4.01733472342097,3.79112205890917
"278","WTSH",1919,3.87539442516658,4.01534212171755,3.78483701793173
"279","WTSH",1920,3.87060490158578,4.01333897061529,3.77896425637232
"280","WTSH",1921,3.86620057412295,4.01189384006264,3.77349186643245
"281","WTSH",1922,3.86197016950382,4.01044397310479,3.76853797851151
"282","WTSH",1923,3.85792812586785,4.00891694095194,3.763933301151
"283","WTSH",1924,3.85362998640024,4.00647765091947,3.75974804649597
"284","WTSH",1925,3.84963748249783,4.00366706000299,3.7555995016185
"285","WTSH",1926,3.84556910287138,4.00218567779519,3.7516947630173
"286","WTSH",1927,3.84112731518419,4.00070950784006,3.7473894630933
"287","WTSH",1928,3.837548863777,3.99923308975473,3.74291843960975
"288","WTSH",1929,3.8345462522916,3.9977373300453,3.73937426509239
"289","WTSH",1930,3.8317545609149,3.99543504833558,3.73616003456831
"290","WTSH",1931,3.82901934394704,3.99277417787791,3.73325495880217
"291","WTSH",1932,3.82568840000076,3.99001255715917,3.72927730077682
"292","WTSH",1933,3.82323498702865,3.98715744773966,3.72744026062999
"293","WTSH",1934,3.82102069386654,3.98422880107007,3.72608206701953
"294","WTSH",1935,3.81854123696205,3.98123242922387,3.72474716526407
"295","WTSH",1936,3.81621644916823,3.97820377468155,3.72327367391423
"296","WTSH",1937,3.81386841267952,3.97511365559695,3.72221027768843
"297","WTSH",1938,3.81149185281598,3.97196537312117,3.71955746013752
"298","WTSH",1939,3.8092355743253,3.96873620207578,3.71829821483538
"299","WTSH",1940,3.80799208919372,3.96544338079682,3.71721979986282
"300","WTSH",1941,3.80730652740112,3.96210083121233,3.71465376616151
"301","WTSH",1942,3.80619370033841,3.95876691471836,3.7133819092374
"302","WTSH",1943,3.80468194452347,3.95532727973254,3.71257654870031
"303","WTSH",1944,3.80275225261374,3.95188043704928,3.71179804669026
"304","WTSH",1945,3.80171320773881,3.94889764186237,3.71021947356191
"305","WTSH",1946,3.80043948438729,3.94612411843683,3.70976630630084
"306","WTSH",1947,3.79937398922864,3.94482840186281,3.70742492207337
"307","WTSH",1948,3.79846765175792,3.94131298694026,3.70645925765914
"308","WTSH",1949,3.79825325221026,3.93764427078783,3.70529139931179
"309","WTSH",1950,3.7983509699929,3.93361721738279,3.7062299345591
"310","WTSH",1951,3.79909703065411,3.93050522680221,3.70623212772941
"311","WTSH",1952,3.8007548800961,3.92597668812715,3.70800162060991
"312","WTSH",1953,3.80148567294415,3.92576069134294,3.71161640406841
"313","WTSH",1954,3.80269276428609,3.92540575591569,3.71584025622459
"314","WTSH",1955,3.80449279982795,3.91952136184356,3.71714162447683
"315","WTSH",1956,3.805893544015,3.91904413327727,3.719187299487
"316","WTSH",1957,3.80697035928116,3.91893530559461,3.72052078802844
"317","WTSH",1958,3.80820599581313,3.91614507659908,3.7221998946199
"318","WTSH",1959,3.80995423157454,3.9158899406009,3.72431342390266
"319","WTSH",1960,3.81024453042775,3.91492845780565,3.72379381799524
"320","WTSH",1961,3.81127312589166,3.91503165418643,3.72351436600529
"321","WTSH",1962,3.8121140028972,3.91314132764657,3.72354355122725
"322","WTSH",1963,3.81217358683785,3.91122044068022,3.72234939202677
"323","WTSH",1964,3.81200497521464,3.91007013019504,3.72159363361478
"324","WTSH",1965,3.81105876062144,3.90874849358562,3.72166206782215
"325","WTSH",1966,3.81124407669026,3.9085051578621,3.72249296040182
"326","WTSH",1967,3.81194572962458,3.90873018004995,3.72372396905588
"327","WTSH",1968,3.81186601520923,3.90852479291246,3.72250909240205
"328","WTSH",1969,3.8121836868165,3.9075901360963,3.72273473438143
"329","WTSH",1970,3.8117452158756,3.90541307947785,3.7211855928262
"330","WTSH",1971,3.81054866501678,3.90336218635412,3.72034553291886
"331","WTSH",1972,3.80977946156978,3.90117775300222,3.71884661299916
"332","WTSH",1973,3.80872678234417,3.89828933634699,3.71961273717368
"333","WTSH",1974,3.8068858212688,3.89636612952681,3.7175620300305
"334","WTSH",1975,3.80523925748576,3.8942896745654,3.7156104743542
"335","WTSH",1976,3.80383955127769,3.89271024352023,3.71371251034169
"336","WTSH",1977,3.8022880695668,3.89136641462434,3.71239323870193
"337","WTSH",1978,3.80095538443459,3.89091710677949,3.71200073030944
"338","WTSH",1979,3.79912004439612,3.8903778156889,3.70887502824692
"339","WTSH",1980,3.79686011665823,3.8887010606418,3.7058547435915
"340","WTSH",1981,3.79484889471259,3.88608194071553,3.70543308045123
"341","WTSH",1982,3.79261563511676,3.88433609046374,3.70336501115289
"342","WTSH",1983,3.79088380257317,3.88312731241281,3.70123773296081
"343","WTSH",1984,3.78876735738917,3.88209387400501,3.69768186308755
"344","WTSH",1985,3.78714780423883,3.87925313526134,3.69356294391033
"345","WTSH",1986,3.7844706668172,3.87777242884963,3.68927131399492
"346","WTSH",1987,3.78186723049211,3.87572026461115,3.68571028393289
"347","WTSH",1988,3.77871688371561,3.87434990054997,3.68153296907069
"348","WTSH",1989,3.77604223278244,3.87165001994617,3.67743996119939
"349","WTSH",1990,3.77353571035876,3.87008973216154,3.67316239533146
"350","WTSH",1991,3.77091058545367,3.86768111764962,3.66865380861258
"351","WTSH",1992,3.76804961026716,3.86548226599411,3.66261197589452
"352","WTSH",1993,3.7653786063019,3.86210918312172,3.65605816541652
"353","WTSH",1994,3.76234953195872,3.8607499314808,3.65068710201676
"354","WTSH",1995,3.75906543045459,3.85868645573538,3.64168723318493
"355","WTSH",1996,3.75560536259465,3.85741624188957,3.6383011222154
"356","WTSH",1997,3.75269478803185,3.8552908380651,3.63380314025556
"357","WTSH",1998,3.74917169338795,3.85201365304203,3.62522524762134
"358","WTSH",1999,3.74645244933945,3.84914587394625,3.61562918407563
"359","WTSH",2000,3.74271533819549,3.84764625685723,3.60657253173354
"360","WTSH",2001,3.73940959587457,3.84675563880993,3.5965157485239
"361","WTSH",2002,3.7359819320768,3.8448640601745,3.58793206953537
"362","WTSH",2003,3.73348222431095,3.84386609937366,3.57658720250804
"363","WTSH",2004,3.73081552123443,3.84304805007844,3.56457444294364
"364","WTSH",2005,3.72756718150526,3.84066581913054,3.55527434946681
"365","WTSH",2006,3.72418378396108,3.84036329897175,3.54625455603878
"366","WTSH",2007,3.72006747039546,3.83969641012834,3.53398502174879
"367","WTSH",2008,3.71677996028687,3.83972180725462,3.51963249205926
"368","WTSH",2009,3.71214272715979,3.83672817109677,3.50837769566164
"369","WTSH",2010,3.70820937355388,3.83546578282812,3.49456202599545
"370","WTSH",2011,3.70515554127095,3.83386751412433,3.48262984609729
"371","WTSH",2012,3.70095376622632,3.83382100331023,3.4695881621539
"372","WTSH",2013,3.69699115451058,3.83536134745013,3.45217936015752
"373","WTSH",2014,3.69334284268485,3.83582365998043,3.43603194265816
"374","WTTR",1891,4.05612051018203,4.32097567049861,3.83245131519834
"375","WTTR",1892,4.05954596911559,4.3154546570037,3.84440839202539
"376","WTTR",1893,4.0618197109234,4.31105253836018,3.85704678638271
"377","WTTR",1894,4.0652218851441,4.3048909027346,3.86489276737141
"378","WTTR",1895,4.06847154523654,4.29607583578905,3.87445373019549
"379","WTTR",1896,4.07172089648655,4.29185456049039,3.88354953821082
"380","WTTR",1897,4.07497720882213,4.28187081622101,3.892288065751
"381","WTTR",1898,4.07708253195559,4.27606684177553,3.90032742213157
"382","WTTR",1899,4.07867039815868,4.26961716096379,3.91230434739454
"383","WTTR",1900,4.08027559584711,4.26326666323192,3.92217223106747
"384","WTTR",1901,4.08267920695795,4.26133806778739,3.93044343339033
"385","WTTR",1902,4.08377719552055,4.26084164246079,3.93436412038656
"386","WTTR",1903,4.08645984637267,4.26070624614019,3.93719104313664
"387","WTTR",1904,4.08830057198769,4.25668715377976,3.94397541258807
"388","WTTR",1905,4.09091763567473,4.25238557366725,3.95157771275558
"389","WTTR",1906,4.09353028890969,4.2488764605628,3.9527284001851
"390","WTTR",1907,4.09501253798093,4.24513978761938,3.95580375031422
"391","WTTR",1908,4.09693582830296,4.24318784824762,3.96033474820774
"392","WTTR",1909,4.0974933691283,4.23948192134075,3.95913914433325
"393","WTTR",1910,4.09765323347999,4.23953521607258,3.96219076540919
"394","WTTR",1911,4.09838042267113,4.2375429085289,3.96254984496481
"395","WTTR",1912,4.09900613558459,4.23635550918648,3.96337059268502
"396","WTTR",1913,4.09998556970246,4.23510525275599,3.96310219000891
"397","WTTR",1914,4.10072498772096,4.23592464313121,3.9627854874056
"398","WTTR",1915,4.10108006286227,4.23582340464482,3.96088763782259
"399","WTTR",1916,4.09991904279809,4.23349417112153,3.9598503051958
"400","WTTR",1917,4.09959854764239,4.23480877079599,3.95853122207698
"401","WTTR",1918,4.09867640059885,4.2372913072263,3.9555663533174
"402","WTTR",1919,4.09806489431598,4.23630844006107,3.95587646696921
"403","WTTR",1920,4.09739139933904,4.23934073393403,3.95416765951403
"404","WTTR",1921,4.09663155724049,4.24331921709527,3.95136877326692
"405","WTTR",1922,4.09554231746914,4.24489361206952,3.9476106715997
"406","WTTR",1923,4.09336930809082,4.24647602379499,3.94579652977399
"407","WTTR",1924,4.0930684624403,4.25124955149058,3.94279207456815
"408","WTTR",1925,4.09305242829689,4.25573199898374,3.93822952488888
"409","WTTR",1926,4.09289713875384,4.25683729535054,3.93532265425485
"410","WTTR",1927,4.09136405322853,4.2558582543394,3.93310078912585
"411","WTTR",1928,4.08972609789587,4.25589476530559,3.93056917379757
"412","WTTR",1929,4.08713917403469,4.25465910591072,3.92679700592996
"413","WTTR",1930,4.08483087410041,4.25303550248055,3.92332365939788
"414","WTTR",1931,4.08210823963184,4.25243288815837,3.9194107152936
"415","WTTR",1932,4.07968547222099,4.25152625796407,3.91502186660357
"416","WTTR",1933,4.07629624544327,4.25138156850139,3.90999673945249
"417","WTTR",1934,4.07410826738833,4.25056436415983,3.90467830795443
"418","WTTR",1935,4.07116580224161,4.2495545511281,3.90154188728277
"419","WTTR",1936,4.06829668624327,4.24767390182242,3.89763869777868
"420","WTTR",1937,4.06560136677994,4.24427904280679,3.89291825441845
"421","WTTR",1938,4.06289183063886,4.241246050654,3.88889064594634
"422","WTTR",1939,4.05954623549095,4.23991375367017,3.88622868419908
"423","WTTR",1940,4.05686276063131,4.23741669750175,3.88198080614469
"424","WTTR",1941,4.05333310318828,4.23348291928846,3.87699249615578
"425","WTTR",1942,4.04983903297318,4.22964103665802,3.87326705525895
"426","WTTR",1943,4.04544023049762,4.2252490231719,3.87273631415325
"427","WTTR",1944,4.04048318857071,4.22050432445556,3.86763464101921
"428","WTTR",1945,4.03483617097443,4.21504315612315,3.86303571140526
"429","WTTR",1946,4.02927986751721,4.20718353410817,3.85907565098552
"430","WTTR",1947,4.02312446061887,4.20027366337113,3.85503774275736
"431","WTTR",1948,4.01701992903136,4.19285369649955,3.85273156379284
